,city,country,lat,lng,rank,country code,genre,top_genres,scale_rank,market_importance
1956,summer hill new south wales,australia,-31.445,152.9187,1770,AU,"australian underground hiphop, australian hiphop",11,0.352770415,3.880474568
356,canberra australian capital territory,australia,-35.283,149.129,584,AU,australian hiphop,5,0.774875411,3.874377053
2051,toowoomba queensland,australia,-27.5645,151.9555,1773,AU,"australian underground hiphop, australian hiphop",11,0.351778481,3.869563293
32,akron ohio,united states,41.0802,-81.5219,591,US,southern hiphop,5,0.772236682,3.861183411
1943,stockton california,united states,37.9766,-121.3112,593,US,southern hiphop,5,0.771483035,3.857415177
1718,rochester,united kingdom,51.3833,0.5167,1672,GB,uk hiphop,10,0.385424443,3.854244434
813,harlow,united kingdom,51.0167,-1.3167,1676,GB,uk hiphop,10,0.384082281,3.840822809
893,hull,united kingdom,53.7504,-0.33,606,GB,uk hiphop,5,0.766587326,3.832936629
467,columbus georgia,united states,43.3354,-89.03,608,US,southern hiphop,5,0.765834601,3.829173006
281,bridgwater,united kingdom,51.0167,-1.3167,1557,GB,uk hiphop,9,0.424338036,3.819042325
517,daly city california,united states,35.1578,-117.872,616,US,"southern hiphop, hiphop",5,0.762824936,3.814124682
624,epsom,united kingdom,51.0167,-1.3167,1684,GB,uk hiphop,10,0.381400301,3.814003015
315,bury,united kingdom,53.6,-2.3,1797,GB,"manchester hiphop, uk hiphop",11,0.343859857,3.782458425
472,concord north carolina,united states,35.289,-81.5416,976,US,"underground hiphop, southern hiphop",6,0.629521686,3.777130114
1694,richmond victoria,australia,-33.5995,150.74,229,AU,australian hiphop,4,0.910592138,3.642368551
1314,milwaukee wisconsin,united states,43.064,-87.9669,236,US,southern hiphop,4,0.90788137,3.631525481
546,dewsbury,united kingdom,51.0167,-1.3167,2164,GB,"manchester hiphop, uk hiphop",16,0.226861427,3.629782828
2081,tucson arizona,united states,32.1546,-110.8782,254,US,"southern hiphop, underground hiphop",4,0.900917023,3.603668094
1221,madison mississippi,united states,43.0808,-89.3922,1629,US,southern hiphop,9,0.399901549,3.599113941
1400,new malden,united kingdom,42.4305,-71.0576,1761,GB,uk hiphop,10,0.355749005,3.557490046
